page_url,domain,url_matched_for_gallery_page,url_matched_for_page_with_gallery,number_of_images_by_img_src,number_of_images_by_a_href,has_match
https://prozeny.blesk.cz/clanek/pro-zeny-trendy-moda/605290/roztomile-tenisky-na-leto-zachrani-vas-kdyz-bude-na-sandalky-zima.html,prozeny.blesk.cz,False,False,0,7,True
https://www.extra.cz/vdana-ucitelka-28-znasilnila-studenta-15-i-presto-mela-necekanou-podporu-u-soudu,www.extra.cz,False,False,0,41,True
https://www.lifee.cz/trendy/legendarni-lupic-babinsky-nebyl-zadny-hrdina-zbabely-zlodejicek-a-vrah-zemrel-jako-zahradnik-v-zenske-veznici_65551.html,www.lifee.cz,False,False,0,12,True
https://www.extra.cz/zdrcena-maminka-varuje-moje-holcicka-12-se-zabila-kvuli-serialu-nedovolte-ho-detem,www.extra.cz,False,False,0,44,True
https://www.extra.cz/venku-mily-muz-doma-zruda-matku-dvou-deti-misu-40-tyral-tomas-40-roky-dcera-se-ho-boji,www.extra.cz,False,False,0,36,True
https://www.extra.cz/dan-nekonecny-52-velky-problem-s-malym-hrobem-proc-zadny-jeste-nema,www.extra.cz,False,False,0,41,True
https://www.extra.cz/dan-nekonecny-52-velky-problem-s-malym-hrobem-proc-zadny-jeste-nema/galerie/3,www.extra.cz,True,False,0,4,True
https://www.extra.cz/dan-nekonecny-52-velky-problem-s-malym-hrobem-proc-zadny-jeste-nema/galerie/2,www.extra.cz,True,False,0,4,True
https://www.extra.cz/dan-nekonecny-52-velky-problem-s-malym-hrobem-proc-zadny-jeste-nema/galerie/1,www.extra.cz,True,False,0,4,True
https://www.blesk.cz/clanek/celebrity-kralovske-rodiny/605689/porod-meghan-si-uzival-prvni-slova-harryho-po-narozeni-potomka-dojimaji-svet.html,www.blesk.cz,False,False,0,40,True
https://prozeny.blesk.cz/clanek/pro-zeny-pribehy/605312/to-je-hrdinka-po-znasilneni-smrti-partnera-a-rakovine-vychovava-dve-deti-s-autismem.html,prozeny.blesk.cz,False,False,0,7,True
https://www.lifee.cz/galerie/adolf-eichmann-a-veronika-lieblova_66033.html?imagenr=1,www.lifee.cz,True,False,0,8,True
https://www.lifee.cz/galerie/adolf-eichmann-a-veronika-lieblova_66033.html?imagenr=2,www.lifee.cz,True,False,0,8,True
https://www.kafe.cz/tag/sport/,www.kafe.cz,False,False,0,4,True
https://www.lifee.cz/psychologie/rady-odbornika-jak-vychovavat-dite-aby-bylo-skutecne-stastne_65391.html,www.lifee.cz,False,False,0,12,True
https://www.lifee.cz/cestovani/kde-si-dat-v-praze-pozor-znate-ty-nejnebezpecnejsi-prazske-krizovatky_65402.html,www.lifee.cz,False,False,0,12,True
https://www.lifee.cz/trendy/umirala-hlady-krusne-detstvi-audrey-hepburn-ktera-by-dnes-oslavila-90-narozeniny_65496.html,www.lifee.cz,False,False,0,30,True
https://prozeny.blesk.cz/clanek/pro-zeny-laska-a-vztahy/605414/vousati-muzi-jsou-lepsi-partneri-vedci-tvrdi-ze-zenam-pripadaji-duveryhodnejsi.html,prozeny.blesk.cz,False,False,0,7,True
https://www.extra.cz/tema/agata-pracharova,www.extra.cz,False,False,0,4,True
https://prozeny.blesk.cz/clanek/pro-zeny-pribehy/603511/magdalena-horetzka-po-osvobozeni-rusy-jsem-vazila-29-kilogramu.html,prozeny.blesk.cz,False,False,0,7,True
https://www.kafe.cz/tag/vtip/,www.kafe.cz,False,False,0,3,True
https://www.kafe.cz/tag/tehotenstvi/,www.kafe.cz,False,False,0,5,True
https://www.kafe.cz/tag/styl/,www.kafe.cz,False,False,0,7,True
https://www.extra.cz/celebrity,www.extra.cz,False,False,0,3,True
https://www.extra.cz/tema/porod-meghan-markle,www.extra.cz,False,False,0,3,True
https://www.extra.cz/tema/the-voice,www.extra.cz,False,False,0,4,True
https://www.extra.cz/tema/ewa-farna,www.extra.cz,False,False,0,4,True
https://www.extra.cz/archiv/1,www.extra.cz,False,False,0,3,True
https://www.extra.cz/ve-spanku-vsechno-zapomene-divka-15-se-probouzi-ve-stejnem-dni-porad-dokola/galerie/3,www.extra.cz,True,False,0,4,True
https://www.extra.cz/ve-spanku-vsechno-zapomene-divka-15-se-probouzi-ve-stejnem-dni-porad-dokola/galerie/2,www.extra.cz,True,False,0,4,True
https://www.extra.cz/ve-spanku-vsechno-zapomene-divka-15-se-probouzi-ve-stejnem-dni-porad-dokola/galerie/1,www.extra.cz,True,False,0,4,True
https://www.blesk.cz/clanek/celebrity-kralovske-rodiny/605424/prestan-delat-tajnosti-meghan-vevodkyne-to-drsne-schytala-kvuli-penezum-i-miminku.html,www.blesk.cz,False,False,0,66,True
https://www.extra.cz/ve-spanku-vsechno-zapomene-divka-15-se-probouzi-ve-stejnem-dni-porad-dokola,www.extra.cz,False,False,0,38,True
https://www.extra.cz/klusova-31-muze-zavidet-tomasova-byvalka-terezie-29-mela-pohadkovou-svatbu/galerie/3,www.extra.cz,True,False,0,4,True
https://www.extra.cz/klusova-31-muze-zavidet-tomasova-byvalka-terezie-29-mela-pohadkovou-svatbu/galerie/2,www.extra.cz,True,False,0,4,True
https://www.extra.cz/klusova-31-muze-zavidet-tomasova-byvalka-terezie-29-mela-pohadkovou-svatbu/galerie/1,www.extra.cz,True,False,0,4,True
https://prozeny.blesk.cz/clanek/pro-zeny-pribehy/599973/laska-z-dodavky-mlady-par-cestuje-se-svym-psem-po-celem-svete.html,prozeny.blesk.cz,False,False,0,7,True
https://www.extra.cz/klusova-31-muze-zavidet-tomasova-byvalka-terezie-29-mela-pohadkovou-svatbu,www.extra.cz,False,False,0,44,True
https://prozeny.blesk.cz/clanek/pro-zeny-pribehy/600990/tohle-dojme-nejlepsi-tata-na-svete-splnil-sve-dceri-neskutecne-prani.html,prozeny.blesk.cz,False,False,0,7,True
https://www.extra.cz/krasnejsi-nez-kdy-driv-selena-gomez-se-zbavila-spicku-zhave-telo-odhalila-v-bikinach,www.extra.cz,False,False,0,41,True
https://www.blesk.cz/clanek/celebrity-kralovske-rodiny/603394/vevodkyne-meghan-porod-do-vody-a-pritomnost-pouze-jednoho-cloveka.html,www.blesk.cz,False,False,0,82,True
https://www.extra.cz/krasnejsi-nez-kdy-driv-selena-gomez-se-zbavila-spicku-zhave-telo-odhalila-v-bikinach/galerie/2,www.extra.cz,True,False,0,4,True
https://www.extra.cz/krasnejsi-nez-kdy-driv-selena-gomez-se-zbavila-spicku-zhave-telo-odhalila-v-bikinach/galerie/1,www.extra.cz,True,False,0,4,True
https://www.blesk.cz/clanek/celebrity-kralovske-rodiny/605489/porodila-ci-neporodila-pravda-o-miminku-vevodkyne-meghan.html,www.blesk.cz,False,False,0,64,True
https://www.extra.cz/12-top-jmen-pro-syna-meghan-a-harryho-bude-se-jmenovat-po-dedeckovi/galerie/1,www.extra.cz,True,False,0,4,True
https://www.extra.cz/krasnejsi-nez-kdy-driv-selena-gomez-se-zbavila-spicku-zhave-telo-odhalila-v-bikinach/galerie/3,www.extra.cz,True,False,0,4,True
https://www.blesk.cz/clanek/celebrity-kralovske-rodiny/597407/meghan-nebude-svobodna-ani-pri-porodu-co-se-stane-az-dite-prijde-na-svet.html,www.blesk.cz,False,False,0,162,True
https://prozeny.blesk.cz/clanek/pro-zeny-pribehy/601052/fotky-z-nichz-mrazi-takto-vypada-smrt-otce-ocima-jeho-syna.html,prozeny.blesk.cz,False,False,0,7,True
https://prozeny.blesk.cz/clanek/pro-zeny-pribehy/603151/zenu-a-psa-z-utulku-sblizil-handicap-tuhle-dvojku-uz-nic-nerozlouci.html,prozeny.blesk.cz,False,False,0,7,True
https://www.extra.cz/12-top-jmen-pro-syna-meghan-a-harryho-bude-se-jmenovat-po-dedeckovi/galerie/3,www.extra.cz,True,False,0,4,True
https://www.extra.cz/12-top-jmen-pro-syna-meghan-a-harryho-bude-se-jmenovat-po-dedeckovi/galerie/2,www.extra.cz,True,False,0,4,True
https://www.blesk.cz/clanek/celebrity-kralovske-rodiny/603530/utajovany-termin-porodu-vevodkyne-meghan-odhalen-zbyva-pry-par-dnu.html,www.blesk.cz,False,False,0,90,True
https://www.extra.cz/12-top-jmen-pro-syna-meghan-a-harryho-bude-se-jmenovat-po-dedeckovi,www.extra.cz,False,False,0,41,True
https://www.blesk.cz/clanek/celebrity-kralovske-rodiny/571044/jak-se-bude-jmenovat-dite-harryho-a-meghan-zname-nejpravdepodobnejsi-moznosti.html,www.blesk.cz,False,False,0,59,True
https://www.extra.cz/slavny-cesky-rapper-boural-v-bmw-silny-naraz-na-dalnici-auto-na-srot,www.extra.cz,False,False,0,41,True
https://www.extra.cz/slavny-cesky-rapper-boural-v-bmw-silny-naraz-na-dalnici-auto-na-srot/galerie/2,www.extra.cz,True,False,0,4,True
https://www.blesk.cz/clanek/celebrity-kralovske-rodiny/602981/kde-bude-meghan-rodit-postavila-si-hlavu-a-odstrihne-se-od-kate-i-princezny-diany.html,www.blesk.cz,False,False,0,90,True
https://www.extra.cz/tydenni-horoskop-ryby-dozene-minulost-stiri-budou-plodit,www.extra.cz,False,False,0,41,True
https://www.blesk.cz/clanek/celebrity-kralovske-rodiny/605563/meghan-a-harry-se-chystaji-na-velke-stehovani-navrat-vevodkyne-do-usa.html,www.blesk.cz,False,False,0,126,True
https://www.extra.cz/tema/andrea-pomeje,www.extra.cz,False,False,0,4,True
https://www.extra.cz/slavny-cesky-rapper-boural-v-bmw-silny-naraz-na-dalnici-auto-na-srot/galerie/3,www.extra.cz,True,False,0,4,True
https://www.blesk.cz/clanek/celebrity-kralovske-rodiny/603256/tajne-plany-kralovskeho-palace-kvuli-porodu-meghan-v-hlavni-roli-vladarka.html,www.blesk.cz,False,False,0,64,True
https://prozeny.blesk.cz/clanek/pro-zeny-pribehy/604636/smali-se-ji-na-plazi-kvuli-bikinam-a-nadvaze-ona-vzkazuje-rodicum-ucte-sve-deti-pokore.html,prozeny.blesk.cz,False,False,0,7,True
https://prozeny.blesk.cz/clanek/pro-zeny-pribehy/603828/deti-nakreslily-svuj-vysneny-pokoj-a-takhle-uzasne-pak-vypada-skutecnost.html,prozeny.blesk.cz,False,False,0,7,True
https://www.extra.cz/agato-ted-poslouchej-tohle-jsou-3-veci-ktere-bys-mela-udelat-aby-se-ti-jakub-vratil,www.extra.cz,False,False,0,44,True
https://www.extra.cz/tema/meghan-markle,www.extra.cz,False,False,0,4,True
https://www.extra.cz/ohrozuje-miminko-ewa-farna-pred-porodem-radi-na-podiu-jako-tajfun,www.extra.cz,False,False,0,44,True
https://www.extra.cz/po-vlne-nenavisti-jana-kirschner-zmenila-pristup-puvabna-holka-na-urovni-s-usmevem,www.extra.cz,False,False,0,44,True
https://www.extra.cz/s-tynus-to-nevypada-dobre-pritel-krasne-youtuberky-promluvil-pro-extra/galerie/0,www.extra.cz,True,False,0,4,True
https://www.blesk.cz/clanek/zpravy-krimi/605455/zahadna-smrt-kralovny-krasy-missku-nasli-obesenou-v-hotelovem-pokoji.html,www.blesk.cz,False,False,0,13,True
https://www.blesk.cz/clanek/zpravy-udalosti/605466/nina-32-ma-bechterevovu-nemoc-a-tvrdi-horsi-nez-porod-u-nej-bolesti-skonci.html,www.blesk.cz,False,False,0,13,True
https://prozeny.blesk.cz/clanek/pro-zeny-pribehy/404705/cestovani-ji-plati-muzi-ktere-poznala-na-seznamce-trva-ale-na-tom-ze-zlatokopka-neni.html,prozeny.blesk.cz,False,False,0,7,True
https://www.blesk.cz/clanek/regiony-brno-brno-krimi/605417/pobodal-utopil-znasilnil-a-rozrezal-vraha-terezy-16-pustili-po-13-5-letech-z-vezeni.html,www.blesk.cz,False,False,0,23,True
https://www.extra.cz/prvni-pohled-na-kralovske-miminko-vime-kdy-meghan-a-princ-harry-ukazou-synka-verejnosti/galerie/0,www.extra.cz,True,False,0,4,True
https://www.extra.cz/dan-nekonecny-52-velky-problem-s-malym-hrobem-proc-zadny-jeste-nema/galerie/0,www.extra.cz,True,False,0,4,True
https://www.blesk.cz/clanek/regiony-ostrava/605404/frantisek-17-miri-z-romskeho-ghetta-na-olympiadu-je-to-ceska-vzperacska-nadeje.html,www.blesk.cz,False,False,0,11,True
https://www.blesk.cz/clanek/zpravy-krimi/605146/strelec-na-univerzite-se-po-masakru-smal-hrozi-mu-trest-smrti.html,www.blesk.cz,False,False,0,13,True
https://prozeny.blesk.cz/clanek/pro-zeny-pribehy/599344/panenka-barbie-slavi-60-narozeniny-letos-se-docka-i-invalidniho-voziku-a-protezy.html,prozeny.blesk.cz,False,False,0,7,True
https://prozeny.blesk.cz/clanek/pro-zeny-pribehy/598977/unikatni-zabery-zachranare-takhle-to-vypada-kdyz-vas-pod-snehem-hleda-pes.html,prozeny.blesk.cz,False,False,0,7,True
https://www.extra.cz/ve-spanku-vsechno-zapomene-divka-15-se-probouzi-ve-stejnem-dni-porad-dokola/galerie/0,www.extra.cz,True,False,0,4,True
https://www.extra.cz/krasnejsi-nez-kdy-driv-selena-gomez-se-zbavila-spicku-zhave-telo-odhalila-v-bikinach/galerie/0,www.extra.cz,True,False,0,4,True
https://www.extra.cz/klusova-31-muze-zavidet-tomasova-byvalka-terezie-29-mela-pohadkovou-svatbu/galerie/0,www.extra.cz,True,False,0,4,True
https://prozeny.blesk.cz/clanek/pro-zeny-volny-cas-koktejl-koktejl/356392/nejsilenejsi-pary-sveta-kdo-je-podle-vas-nejosklivejsi.html,prozeny.blesk.cz,False,False,0,7,True
https://www.extra.cz/12-top-jmen-pro-syna-meghan-a-harryho-bude-se-jmenovat-po-dedeckovi/galerie/0,www.extra.cz,True,False,0,4,True
https://prozeny.blesk.cz/clanek/pro-zeny-pribehy/595714/psi-superhrdina-skoncil-s-nozem-v-hlave-aby-zachranil-sveho-pana.html,prozeny.blesk.cz,False,False,0,7,True
https://www.extra.cz/tema/prsa,www.extra.cz,False,False,0,4,True
https://www.extra.cz/tema/svatba,www.extra.cz,False,False,0,4,True
https://www.extra.cz/tema/pavel-novotny-byvaly-sefredaktor,www.extra.cz,False,False,0,4,True
https://www.extra.cz/za-faldiky-se-prestala-stydet-selena-gomez-hrde-vystavila-sve-baculate-telo,www.extra.cz,False,False,0,44,True
https://www.extra.cz/tema/stefan-pcelar,www.extra.cz,False,False,0,3,True
https://www.extra.cz/nikdy-nebyla-hubenejsi-nikol-stibrova-se-rok-po-porodu-predvedla-v-plavkach,www.extra.cz,False,False,0,44,True
https://www.extra.cz/tema/hubnuti,www.extra.cz,False,False,0,4,True
https://www.extra.cz/divku-20-znasilnilo-6-hasicu-s-jednim-sla-z-vlastni-vule-pak-se-pridali-dalsi/galerie/4/dalsi,www.extra.cz,True,False,0,2,True
https://prozeny.blesk.cz/galerie/pribehy/866988/to-je-hrdinka-po-znasilneni-smrti-partnera-a-rakovine-vychovava-dve-deti-s-autismem?foto=5,prozeny.blesk.cz,True,False,0,0,True
https://www.extra.cz/galerie/stefan-pcelar?photoIndex=11,www.extra.cz,False,False,0,1,True
https://www.extra.cz/foto/8213-dve-nejvetsi-nestesti-nasich-televizi-a-internetu?tag=stefan-pcelar,www.extra.cz,False,False,0,1,True
https://www.extra.cz/foto/8212-stefan-pcelar-po-ontarijske-supermodelce-bieberovi-druhe-nejvetsi-nestesti-jake-mohlo-nase-media-potkat?tag=stefan-pcelar,www.extra.cz,False,False,0,1,True
https://www.extra.cz/tema/martin-safarik,www.extra.cz,False,False,0,3,True
https://www.extra.cz/tema/adam-kukacka,www.extra.cz,False,False,0,4,True
https://www.blesk.cz/clanek/celebrity-kralovske-rodiny/592611/poplach-v-porodnici-kvuli-meghan-zamestnanci-nebudou-mit-mesic-volno.html,www.blesk.cz,False,False,0,127,True
https://www.extra.cz/tema/superstar-2013,www.extra.cz,False,False,0,3,True
https://www.extra.cz/foto/8333-stefan-pcelar-se-pred-ewou-pekne-naparoval?tag=stefan-pcelar,www.extra.cz,False,False,0,1,True
https://www.extra.cz/tema/sabina-krovakova,www.extra.cz,False,False,0,4,True
https://www.extra.cz/foto/8560-dve-budouci-byvale-celebrity-itcho-a-saba?tag=stefan-pcelar,www.extra.cz,False,False,0,1,True
https://www.extra.cz/nikdy-nebyla-hubenejsi-nikol-stibrova-se-rok-po-porodu-predvedla-v-plavkach/galerie/4,www.extra.cz,True,False,0,4,True
https://www.extra.cz/youtuberka-tynus-tresnickova-si-uziva-na-dovolene-co-vsechno-ukazala-tentokrat,www.extra.cz,False,False,0,44,True
https://www.extra.cz/nikol-trojanova-si-uziva-u-more-predvedla-se-v-pruhlednych-plavkach,www.extra.cz,False,False,0,44,True
https://www.extra.cz/nicole-vaidisova-se-prepocitala-jeji-dva-mice-v-dolarech-jsou-uz-skoro-fuc-co-bude-dal,www.extra.cz,False,False,0,44,True
https://www.extra.cz/rozchod-nikol-stibrove-s-pritelem-zkouseli-to-dal-jen-kvuli-synovi,www.extra.cz,False,False,0,44,True
https://www.extra.cz/tema/zazrak,www.extra.cz,False,False,0,3,True
https://www.extra.cz/tema/dovolena,www.extra.cz,False,False,0,4,True
https://www.extra.cz/nikdy-nebyla-hubenejsi-nikol-stibrova-se-rok-po-porodu-predvedla-v-plavkach/galerie/3,www.extra.cz,True,False,0,4,True
https://www.extra.cz/nikdy-nebyla-hubenejsi-nikol-stibrova-se-rok-po-porodu-predvedla-v-plavkach/galerie/2,www.extra.cz,True,False,0,4,True
https://www.extra.cz/nikdy-nebyla-hubenejsi-nikol-stibrova-se-rok-po-porodu-predvedla-v-plavkach/galerie/1,www.extra.cz,True,False,0,4,True
https://www.extra.cz/nikdy-nebyla-hubenejsi-nikol-stibrova-se-rok-po-porodu-predvedla-v-plavkach/galerie/$nextImageIndex%7D,www.extra.cz,True,False,0,4,True
https://www.extra.cz/nikdy-nebyla-hubenejsi-nikol-stibrova-se-rok-po-porodu-predvedla-v-plavkach/galerie/0,www.extra.cz,True,False,0,4,True
https://www.extra.cz/tema/nikol-stibrova,www.extra.cz,False,False,0,4,True
https://www.extra.cz/foto/8617?tag=stefan-pcelar,www.extra.cz,False,False,0,1,True
https://www.extra.cz/foto/8642?tag=stefan-pcelar,www.extra.cz,False,False,0,1,True
https://www.extra.cz/foto/8644?tag=stefan-pcelar,www.extra.cz,False,False,0,1,True
https://www.extra.cz/foto/8646-stefan-si-bude-do-smrti-pamatovat-ze-superstar-dve-veci-miliony-ktere-mu-uletely-pred-nosem-a-intimnosti-s-ewou?tag=stefan-pcelar,www.extra.cz,False,False,0,1,True
https://www.extra.cz/foto/11505-stefan-je-jeste-mlady-a-veri-na-uspech-s-kapelou-svata-prostoto?tag=stefan-pcelar,www.extra.cz,False,False,0,1,True
https://www.extra.cz/foto/24387?tag=stefan-pcelar,www.extra.cz,False,False,0,1,True
https://www.extra.cz/finale-superstar-se-blizi-radsi-at-justin-bieber-zpiva-ceskou-hymnu-nez-aby-vyhral-chlupaty-nezpevak-z-nitry,www.extra.cz,False,False,0,44,True
https://www.extra.cz/farna-tocila-v-zakulisi-videa-na-svuj-mobil-podivejte-se-jak-pred-ni-pcelar-ukazoval-spekate-bricho,www.extra.cz,False,False,0,33,True
https://www.extra.cz/tema/stefan-pcelar/1,www.extra.cz,False,False,0,3,True
https://www.extra.cz/bizarni-finale-superstar-je-tady-vyhraje-krasny-nezpevak-ze-slovenska-nebo-nosata-ticha-voda-z-decina-a-bude-mit-vecer-ewa-naposledy-obri-prsa,www.extra.cz,False,False,0,44,True
https://www.extra.cz/katastrofa-jakou-superstar-nepamatuje-ani-ve-svete-diky-slovakum-mozna-poprve-v-historii-vyhraje-nezpevak,www.extra.cz,False,False,0,42,True
https://www.extra.cz/hrisnice-superstar-farna-na-koho-mysli-v-posteli-je-to-pcelar-ale-ma-prisny-zakaz-to-rikat-pomoci-medii-lze-kudy-chodi,www.extra.cz,False,False,0,40,True
https://www.extra.cz/5-duvodu-proc-zitra-ve-ctyri-odpoledne-budou-finaliste-superstar-pcelar-s-krovakovou-medialne-po-smrti,www.extra.cz,False,False,0,40,True
https://www.extra.cz/povodnovy-online-pavla-novotneho-z-finale-superstar-ja-studio-itcho-sabina-a-ewa-a-jeji-ctyrky,www.extra.cz,False,False,0,40,True
https://www.extra.cz/tajna-akce-na-party-superstar-nadrzenou-farnou-kvuli-pcelarovi-narychlo-odvadela-z-mejdanu-manazerka-neuverite-co-za-tim-vsim-je,www.extra.cz,False,False,0,44,True
https://www.extra.cz/ze-zadecku-a-speku-ewy-farne-je-mezinarodni-tema-zpevacku-ktera-v-noci-zlobi-s-gulasem-uz-resi-i-slovensko-a-polsko-podivejte-se,www.extra.cz,False,False,0,42,True
https://www.extra.cz/stefan-itcho-pcelar-je-pro-ceske-teenky-nezvestny-odjel-se-hadat-do-nitry-s-rodici-skonci-jako-zevlak-adamec,www.extra.cz,False,False,0,42,True
https://www.extra.cz/stefan-pcelar-spachal-definitivni-sebevrazdu-chysta-s-kapelou-singl-v-anglictine-a-stale-odmita-sex-s-farnou-co-jeste-priznal/galerie/2,www.extra.cz,True,False,0,4,True
https://www.extra.cz/stefan-pcelar-spachal-definitivni-sebevrazdu-chysta-s-kapelou-singl-v-anglictine-a-stale-odmita-sex-s-farnou-co-jeste-priznal,www.extra.cz,False,False,0,40,True
https://www.extra.cz/stefan-pcelar-spachal-definitivni-sebevrazdu-chysta-s-kapelou-singl-v-anglictine-a-stale-odmita-sex-s-farnou-co-jeste-priznal/galerie/1,www.extra.cz,True,False,0,4,True
https://www.extra.cz/trapas-hvezd-ze-superstar-uplne-nejfalesnejsi-vystoupeni-pcelara-a-krovakove-z-toho-ohluchnete,www.extra.cz,False,False,0,39,True
https://www.extra.cz/obrovska-tragedie-nova-chysta-na-podzim-dalsi-superstar-facebook-prosi-farnou-at-zase-rozjede-svou-podprsenkovou-show,www.extra.cz,False,False,0,44,True
https://www.extra.cz/farna-uz-ukazuje-sve-oble-krivky-jinemu-ale-k-pcelarovi-se-zase-vinula-jak-liana-divejte-se,www.extra.cz,False,False,0,44,True
https://www.extra.cz/porota-superstar-je-kompletni-seniory-potesi-soukup-uspory-v-cateringu-staly-misto-farnou-prorazit-se-pokusi-vytiskova,www.extra.cz,False,False,0,44,True
https://www.extra.cz/michaela-ochotska-v-plavkach-je-stale-v-kurzu-rozvodova-bitva-s-rosolem-uz-zacina,www.extra.cz,False,False,0,44,True
https://www.extra.cz/katy-perry-zvedala-svoji-sukynku-na-plazi-copak-pod-ni-ukazala,www.extra.cz,False,False,0,44,True
https://www.extra.cz/katerina-kristelova-s-tomasem-repkou-na-luxusni-dovolene-kam-vyrazili-a-nehrozi-jim-ponorka,www.extra.cz,False,False,0,44,True
https://www.extra.cz/za-faldiky-se-prestala-stydet-selena-gomez-hrde-vystavila-sve-baculate-telo/galerie/4,www.extra.cz,True,False,0,4,True
https://www.extra.cz/leos-mares-vzal-svoji-moniku-na-nejlevnejsi-vylet-vsech-dob-kam,www.extra.cz,False,False,0,44,True
https://www.extra.cz/vzrusena-selena-gomez-na-trcici-bradavky-by-si-mohla-veset-koralky,www.extra.cz,False,False,0,44,True
https://www.extra.cz/tema/faldiky,www.extra.cz,False,False,0,3,True
https://www.extra.cz/kruty-ortel-pro-odkopnutou-selenu-gomez-kvuli-zakerne-nemoci-nikdy-nebude-mit-deti,www.extra.cz,False,False,0,44,True
https://www.extra.cz/bolest-z-bieberova-podrazu-leci-kolouskem-tohoto-sladouse-si-selena-gomez-odvlekla-do-hotelu,www.extra.cz,False,False,0,44,True
https://www.extra.cz/selena-gomez-dre-na-postavicce-a-je-z-ni-zase-kocka-dela-to-aby-si-k-ni-bieber-vratil,www.extra.cz,False,False,0,44,True
https://www.extra.cz/tema/kila-navic,www.extra.cz,False,False,0,3,True
https://www.extra.cz/za-faldiky-se-prestala-stydet-selena-gomez-hrde-vystavila-sve-baculate-telo/galerie/2,www.extra.cz,True,False,0,4,True
https://www.extra.cz/za-faldiky-se-prestala-stydet-selena-gomez-hrde-vystavila-sve-baculate-telo/galerie/1,www.extra.cz,True,False,0,4,True
https://www.extra.cz/za-faldiky-se-prestala-stydet-selena-gomez-hrde-vystavila-sve-baculate-telo/galerie/3,www.extra.cz,True,False,0,4,True
https://www.extra.cz/za-faldiky-se-prestala-stydet-selena-gomez-hrde-vystavila-sve-baculate-telo/galerie/$nextImageIndex%7D,www.extra.cz,True,False,0,4,True
https://www.extra.cz/za-faldiky-se-prestala-stydet-selena-gomez-hrde-vystavila-sve-baculate-telo/galerie/0,www.extra.cz,True,False,0,4,True
https://www.extra.cz/tema/fitness,www.extra.cz,False,False,0,4,True
https://www.extra.cz/tema/dieta,www.extra.cz,False,False,0,4,True
https://www.extra.cz/tema/anorexie,www.extra.cz,False,False,0,4,True
https://www.extra.cz/tema/promena,www.extra.cz,False,False,0,4,True
https://www.extra.cz/tema/cviceni,www.extra.cz,False,False,0,4,True
https://www.extra.cz/zrudy-studentku-17-ve-svedsku-hromadne-znasilnili-potom-ji-zapalili-mluvi-se-o-migrantech,www.extra.cz,False,False,0,30,True
